default-jdk	2:1.21-75+exp1	amd64
default-jdk-headless	2:1.21-75+exp1	amd64
default-jre	2:1.21-75+exp1	amd64
default-jre-headless	2:1.21-75+exp1	amd64
default-libmysqlclient-dev	1.1.0build1	amd64
desktop-file-utils	0.27-2build1	amd64
dhcpcd-base	1:10.0.6-1ubuntu3.2	amd64
dictionaries-common	1.29.7	all
diffutils	1:3.10-1ubuntu0.1	amd64
dirmngr	2.4.4-2ubuntu17.6	amd64
distro-info	1.7build1	amd64
distro-info-data	0.72-0ubuntu0.24.04.1	all
dmidecode	3.5-3ubuntu0.1	amd64
dmsetup	2:1.02.185-3ubuntu3.2	amd64
dmz-cursor-theme	0.4.5ubuntu1	all
dns-root-data	2024071801~ubuntu0.24.04.1	all
dnsmasq-base	2.91-0ubuntu0.24.04.1	amd64
docbook-xml	4.5-12	all
docutils-common	0.20.1+dfsg-3	all
dosfstools	4.2-1.1build1	amd64
dpkg	1.22.6ubuntu6.6	amd64
dpkg-dev	1.22.6ubuntu6.6	all
dracut-install	060+5-1ubuntu3.3	amd64
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	amd64
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1	all
eatmydata	131-1ubuntu1	all
ed	1.20.1-1	amd64
efibootmgr	18-1build2	amd64
eject	2.39.3-9ubuntu6.6	amd64
emacsen-common	3.0.5	all
enchant-2	2.3.3-2build2	amd64
eog	45.3-1ubuntu2	amd64
espeak-ng-data	1.51+dfsg-12build1	amd64
ethtool	1:6.7-1build1	amd64
evince	46.3.1-0ubuntu1.1	amd64
evince-common	46.3.1-0ubuntu1.1	all
evolution-data-server	3.52.3-0ubuntu1.2	amd64
evolution-data-server-common	3.52.3-0ubuntu1.2	all
fakeroot	1.33-1	amd64
fdisk	2.39.3-9ubuntu6.6	amd64
file	1:5.45-3build1	amd64
findutils	4.9.0-5build1	amd64
firefox	1:1snap1-0ubuntu5	amd64
firmware-sof-signed	2023.12.1-1ubuntu1.11	all
