tick,sim_time,paused,x1,y1,z1,x2,y2,z2,phase1,phase2,status
2336,46.719999999999999,0,3.3463575963236112,-39.641592255674858,2.7999999999999998,-0.86180384015448108,-36.130809774131791,2.7999999999999998,BYPASS,BYPASS,RUNNING
2337,46.740000000000002,0,3.3561779669013569,-39.655468866273836,2.7999999999999998,-0.87162421073222396,-36.144686384730775,2.7999999999999998,BYPASS,BYPASS,RUNNING
2338,46.759999999999998,0,3.3659983374791023,-39.66934547687282,2.7999999999999998,-0.88144458130996683,-36.15856299532976,2.7999999999999998,BYPASS,BYPASS,RUNNING
2339,46.780000000000001,0,3.375818708056848,-39.683222087471798,2.7999999999999998,-0.89126495188770971,-36.172439605928744,2.7999999999999998,BYPASS,BYPASS,RUNNING
2340,46.799999999999997,0,3.3856390786345933,-39.697098698070782,2.7999999999999998,-0.90108532246545259,-36.186316216527729,2.7999999999999998,BYPASS,BYPASS,RUNNING
2341,46.82,0,3.3954594492123391,-39.710975308669759,2.7999999999999998,-0.91090569304319546,-36.200192827126713,2.7999999999999998,BYPASS,BYPASS,RUNNING
2342,46.840000000000003,0,3.4052798197900844,-39.724851919268744,2.7999999999999998,-0.92072606362093834,-36.214069437725698,2.7999999999999998,BYPASS,BYPASS,RUNNING
2343,46.859999999999999,0,3.4151001903678302,-39.738728529867721,2.7999999999999998,-0.93054643419868122,-36.227946048324682,2.7999999999999998,BYPASS,BYPASS,RUNNING
2344,46.880000000000003,0,3.4249205609455755,-39.752605140466706,2.7999999999999998,-0.94036680477642409,-36.241822658923667,2.7999999999999998,BYPASS,BYPASS,RUNNING
2345,46.899999999999999,0,3.4347409315233213,-39.766481751065683,2.7999999999999998,-0.95018717535416697,-36.255699269522651,2.7999999999999998,BYPASS,BYPASS,RUNNING
2346,46.920000000000002,0,3.4445613021010666,-39.780358361664668,2.7999999999999998,-0.96000754593190984,-36.269575880121636,2.7999999999999998,BYPASS,BYPASS,RUNNING
2347,46.939999999999998,0,3.4543816726788124,-39.794234972263645,2.7999999999999998,-0.96982791650965272,-36.28345249072062,2.7999999999999998,BYPASS,BYPASS,RUNNING
2348,46.960000000000001,0,3.4642020432565577,-39.80811158286263,2.7999999999999998,-0.9796482870873956,-36.297329101319605,2.7999999999999998,BYPASS,BYPASS,RUNNING
2349,46.979999999999997,0,3.4740224138343034,-39.821988193461607,2.7999999999999998,-0.98946865766513847,-36.311205711918589,2.7999999999999998,BYPASS,BYPASS,RUNNING
2350,47,0,3.4838427844120488,-39.835864804060591,2.7999999999999998,-0.99928902824288135,-36.325082322517574,2.7999999999999998,BYPASS,BYPASS,RUNNING
2351,47.020000000000003,0,3.4936631549897945,-39.849741414659569,2.7999999999999998,-1.0091093988206243,-36.338958933116558,2.7999999999999998,BYPASS,BYPASS,RUNNING
2352,47.039999999999999,0,3.5034835255675398,-39.863618025258553,2.7999999999999998,-1.0189297693983672,-36.352835543715543,2.7999999999999998,BYPASS,BYPASS,RUNNING
2353,47.060000000000002,0,3.5133038961452856,-39.877494635857531,2.7999999999999998,-1.0287501399761101,-36.366712154314527,2.7999999999999998,BYPASS,BYPASS,RUNNING
2354,47.079999999999998,0,3.5231242667230309,-39.891371246456515,2.7999999999999998,-1.038570510553853,-36.380588764913512,2.7999999999999998,BYPASS,BYPASS,RUNNING
2355,47.100000000000001,0,3.5329446373007767,-39.905247857055492,2.7999999999999998,-1.0483908811315958,-36.394465375512496,2.7999999999999998,BYPASS,BYPASS,RUNNING
2356,47.119999999999997,0,3.542765007878522,-39.919124467654477,2.7999999999999998,-1.0582112517093387,-36.408341986111481,2.7999999999999998,BYPASS,BYPASS,RUNNING
2357,47.140000000000001,0,3.5525853784562678,-39.933001078253454,2.7999999999999998,-1.0680316222870816,-36.422218596710465,2.7999999999999998,BYPASS,BYPASS,RUNNING
